# MA0,MH0,MHch,lam2,laml
1.408618e+02,5.621249e+01,2.515678e+03,-1.716952e+00,2.184370e+00
1.539992e+02,5.381909e+01,1.651875e+03,-5.916413e+00,1.349024e+00
6.554300e+01,1.646034e+02,2.242229e+02,6.226481e+00,2.575692e+00
8.668971e+01,1.531354e+02,2.651880e+03,3.242687e+00,-3.438124e+00
1.315050e+02,8.166363e+01,2.159144e+03,-3.086802e+00,-8.608728e-01
1.474647e+02,8.127094e+01,2.674540e+03,1.380776e+00,-2.108212e+00
6.408558e+01,1.581780e+02,5.904960e+02,3.122511e+00,9.825341e-01
6.659950e+01,1.311684e+02,1.053503e+03,-2.843809e+00,-1.631270e-01
9.823969e+01,1.008194e+02,2.562295e+03,-4.908341e+00,-8.365896e-01
6.216049e+01,1.619707e+02,6.901660e+02,3.481215e+00,4.257687e+00
7.702641e+01,1.295835e+02,1.988551e+03,2.908122e+00,1.576607e+00
8.058740e+01,1.362703e+02,8.797513e+01,5.819248e-01,-1.500570e+00
1.422566e+02,7.069044e+01,1.443060e+03,2.712259e+00,2.511871e+00
6.658810e+01,1.299579e+02,2.268888e+03,-1.471966e+00,-5.788059e+00
1.399836e+02,6.232580e+01,9.519619e+02,-5.525611e+00,4.659136e+00
1.401226e+02,5.434301e+01,2.337298e+03,-2.856699e+00,4.637953e+00
1.122335e+02,9.698841e+01,1.625530e+03,5.607553e+00,2.076718e+00
5.605712e+01,1.675814e+02,1.276396e+03,3.094740e+00,-4.579291e+00
9.630897e+01,1.035450e+02,1.268036e+03,5.821296e+00,-4.240199e+00
9.427120e+01,1.174132e+02,2.967967e+03,2.456441e+00,-5.097434e+00
1.106418e+02,8.318537e+01,2.964850e+03,-3.765826e+00,-1.114609e+00
1.394221e+02,7.805193e+01,1.788645e+03,-5.685026e+00,5.877601e+00
1.606046e+02,9.728497e+01,3.710299e+02,4.923920e-01,-3.631248e+00
1.187886e+02,8.810208e+01,2.467734e+03,-2.740238e+00,2.332242e+00
1.800306e+02,7.633133e+01,5.386391e+02,4.491171e+00,-7.985455e-01
1.307429e+02,9.014110e+01,1.124039e+02,4.883311e+00,3.241969e+00
6.049413e+01,1.945180e+02,9.228912e+02,4.087746e+00,-1.516354e+00
8.589243e+01,1.497576e+02,2.389128e+03,3.188502e+00,6.274744e+00
1.176196e+02,1.256790e+02,1.405164e+03,-3.042166e+00,-5.835471e+00
1.040249e+02,9.551766e+01,2.013111e+03,-2.605303e+00,-1.246128e+00
7.135380e+01,1.532031e+02,2.680360e+03,4.254640e+00,5.564968e+00
1.127561e+02,1.172358e+02,2.127332e+03,2.843505e+00,-1.324877e+00
2.390878e+02,5.002290e+01,9.779547e+02,-2.437210e+00,2.864848e+00
7.583230e+01,2.130656e+02,2.100110e+03,6.089811e+00,6.190429e+00
7.782724e+01,1.071770e+02,1.717115e+03,-3.458563e+00,1.065701e+00
